caminho_completo,nome_arquivo,classe,subtipo,label_final,largura,altura,Variancia_laplaciana,Aspect_Ratio,canais_cor,tamanho_kb,hash,brilho_medio,contraste,img_hash
data/raw/aerosol_cans/default/Image_1.png,Image_1.png,aerosol_cans,default,aerosol_cans/default,256,256,921.7503960495815,1.0,RGB,50.97,ca99ab52ef44369862583beac552457e,211.95108032226562,66.89014814147572,e19e9a61159a6b87
data/raw/aerosol_cans/default/Image_10.png,Image_10.png,aerosol_cans,default,aerosol_cans/default,256,256,2528.4307170053944,1.0,RGB,77.43,dfa1ff7f8472a70012cc198e7a0195ca,116.94194030761719,93.20902021273697,8cb9f306a9e6a1c9
data/raw/aerosol_cans/default/Image_100.png,Image_100.png,aerosol_cans,default,aerosol_cans/default,256,256,1063.6627959811594,1.0,RGB,55.36,1414e63e16d3d5287097878402760617,217.79981994628906,56.19533162094596,efd0912f32fd0d80
data/raw/aerosol_cans/default/Image_101.png,Image_101.png,aerosol_cans,default,aerosol_cans/default,256,256,2631.672543144785,1.0,RGB,75.86,8dd3069700f837c24f4724e7c01ffec4,192.2339630126953,76.65322646277465,abe4d01bec759609
data/raw/aerosol_cans/default/Image_102.png,Image_102.png,aerosol_cans,default,aerosol_cans/default,256,256,1606.7586364746094,1.0,RGB,53.32,abc36e4128674d591460833bc04a2900,212.4041290283203,53.995476659390256,a4ce8e19d933c336
data/raw/aerosol_cans/default/Image_103.png,Image_103.png,aerosol_cans,default,aerosol_cans/default,256,256,1453.7401001711842,1.0,RGB,54.71,b59faf2a795f1f63ab119786a3713374,163.09317016601562,97.01952150701952,901fefe08e9f380a
data/raw/aerosol_cans/default/Image_104.png,Image_104.png,aerosol_cans,default,aerosol_cans/default,256,256,161.6772002147045,1.0,RGB,25.9,10cf5d2122a6dc6759b2c3cb00debdfa,208.03390502929688,84.87066726192357,b38bce32ce662466
data/raw/aerosol_cans/default/Image_105.png,Image_105.png,aerosol_cans,default,aerosol_cans/default,256,256,354.43011450767517,1.0,RGB,35.9,146b88099077e26588ccbae10351ce98,228.24331665039062,40.785650294043776,aed1912ee7419e31
data/raw/aerosol_cans/default/Image_106.png,Image_106.png,aerosol_cans,default,aerosol_cans/default,256,256,2776.565609975718,1.0,RGB,79.14,d6e95521d8d121194f1ef0a9209e0725,197.09056091308594,40.410942121893534,af3f98c2cd43c11c
data/raw/aerosol_cans/default/Image_107.png,Image_107.png,aerosol_cans,default,aerosol_cans/default,256,256,158.85977172851562,1.0,RGB,9.98,da7ab22ad5a0848be68d2821776a916a,247.40232849121094,16.969401390956207,b1c7cfd999389830
data/raw/aerosol_cans/default/Image_108.png,Image_108.png,aerosol_cans,default,aerosol_cans/default,256,256,1732.3688354156911,1.0,RGB,82.0,8a11cb64ec35914b889ca308a5f6b58f,170.49949645996094,51.812957648766336,cd6fa2b4d2d2d085
data/raw/aerosol_cans/default/Image_109.png,Image_109.png,aerosol_cans,default,aerosol_cans/default,256,256,415.9328918457031,1.0,RGB,34.76,35640c88bf2d9bb1f68e07bf2cc42c27,229.68569946289062,48.410671129266994,ed61c2ce6d3192c6
